n,AbsErr,RelErr,R
3,0.001305418104478484,0.47474099141323256,0.022562121270695887
5,0.000014145369900853133,0.00514424222216584,0.008376817877291111
10,0.0000000005374450329220792,0.00000019545246605988885,0.0010575810169191722
25,0.000000000000000943689570931383,0.0000000000003431912894062953,0.000005548313707279121
50,0.000000000000001887379141862766,0.0000000000006863825788125906,0.000000001879075461858099
